mode,text,label,label_id,raw_output,predicted_label,predicted_label_id,is_invalid,invalid_reason,model_name,dataset_name,split,retrieved_example_ids,retrieved_example_labels
zero_shot,"Borrower has obtained and has delivered to Lender original or certified copies of all of the Policies or ACORD certificates, with all premiums prepaid thereunder, reflecting the insurance coverages, amounts and other requirements set forth in this Agreement. There are no claims currently outstanding that have been made under any of the Policies and that would have a Material Adverse Effect, and to Borrower’s Knowledge, no Person, including any Borrower, has done, by act or omission, anything which would impair the coverage of any of the Policies.",Insurances,11, Compliance With Laws,Compliance With Laws,17,False,,qwen_zero_shot,LEDGAR,test,,
zero_shot,"Subject to the terms and conditions set forth herein, any Borrower, or the Company on behalf of the applicable Borrower, may request the issuance of Letters of Credit denominated in Agreed Currencies for its own account or for the account of a Restricted Subsidiary, in a form reasonably acceptable to the Administrative Agent and the relevant Issuing Bank, at any time and from time to time during the Availability Period. In the event of any inconsistency between the terms and conditions of this Agreement and the terms and conditions of any Letter of Credit Agreement, the terms and conditions of this Agreement shall control. All Existing Letters of Credit shall be deemed to have been issued pursuant hereto, and from and after the Effective Date shall be governed by the terms and conditions hereof. Notwithstanding anything herein to the contrary, no Issuing Bank shall have any obligation hereunder to issue, and shall not issue, any Letter of Credit the proceeds of which would be made available to any Person (i) to fund any activity or business of or with any Sanctioned Person, or in any country or territory that, at the time of such funding, is a Sanctioned Country or (ii) in any manner that would result in a violation of any Sanctions by any party to this Agreement or (iii) in any manner that would result in a violation of one or more policies of the Issuing Bank applicable to letters of credit generally.",General,16, Indemnifications,Indemnifications,18,False,,qwen_zero_shot,LEDGAR,test,,
zero_shot,"Any amendment to the Plan shall be deemed to be an amendment to this Agreement to the extent that the amendment is applicable hereto; provided , however , that (a) no amendment shall adversely affect the rights of Employee under this Agreement without Employee’s written consent, and (b) Employee’s consent shall not be required to an amendment that is deemed necessary by the Company to ensure compliance with Section 409A of the Code or Section 10D of the Exchange Act.",Amendments,5, Indemnifications,Indemnifications,18,False,,qwen_zero_shot,LEDGAR,test,,
zero_shot,"The repossession or re-entering of all or any part of the Premises shall not relieve Tenant of its liabilities and obligations under this Lease. Except as provided in this Lease, no right or remedy of either party shall be exclusive of any other right or remedy, and each right and remedy shall be cumulative and in addition to any other right and remedy now or subsequently available to such party at law or in equity. Without limiting the generality of the foregoing, in addition to the other remedies provided in this Lease, either party shall be entitled to pursue the restraint by court order of the violation of any of the provisions of this Lease or of applicable Law or to a decree compelling specific performance of any such provisions.",General,16, Compliance With Laws,Compliance With Laws,17,False,,qwen_zero_shot,LEDGAR,test,,
zero_shot,Stockholder shall execute and/or cause to be delivered to Parent such instruments and other documents and shall take such other actions as Parent may reasonably request for the purpose of carrying out the transactions contemplated by this Agreement.,Further Assurances,14, Assignments,Assignments,7,False,,qwen_zero_shot,LEDGAR,test,,
zero_shot,"TPC has filed all returns and reports which were required to be filed on or prior to the date hereof, and has paid all Taxes (and any related penalties, fines and interest) which have become due pursuant to such returns or reports or pursuant to any assessment which has become payable, or, to the extent its liability for any Taxes (and any related penalties, fines and interest) has not been fully discharged, the same have been properly reflected as a liability on the books and records of TPC and adequate reserves therefore have been established. All such returns and reports filed on or prior to the date hereof have been properly prepared and arc true, correct (and to the extent such returns reflect judgments made by TPC such judgments were reasonable under the circumstances) and complete in all material respects. No extension for the filing of any such return or report is currently in effect No tax return or tax return liability of TPC has been audited or, presently under audit. All taxes and any penalties. fines and interest which have been asserted to be payable as a result of any audits have been paid. TPC has not given or been requested to give waivers of any statute of limitations relating to the payment of any Taxes (or any related penalties, fines and interest). There are no claims pending for past due Taxes. All payments for withholding taxes, unemployment insurance and other amounts required to be paid for periods prior to the date hereof to any governmental authority in respect of employment obligations of TPC have been paid or shall he paid prior to the Closing and have been duly provided for on the books and records of TPC and in the financial statements of TPC.",Taxes,12, Compliance With Laws,Compliance With Laws,17,False,,qwen_zero_shot,LEDGAR,test,,
zero_shot,Tax Benefit ” shall have the meaning assigned to it in Section 8.3(d) .,Indemnifications,18, Terms,Terms,9,False,,qwen_zero_shot,LEDGAR,test,,
zero_shot,"Section 9.07 of the Credit Agreement is incorporated by reference herein as if such Section appeared herein, mutatis mutandis .",Severability,4, Counterparts,Counterparts,2,False,,qwen_zero_shot,LEDGAR,test,,
zero_shot,"Except as provided in this Article, no action taken or inaction pursuant to this Agreement will be deemed to constitute a waiver of compliance with any warranties, conditions or covenants contained in this Agreement and will not operate or be construed as a waiver of any subsequent breach, whether of a similar or dissimilar nature. No waiver of any right under this Agreement shall be binding unless executed in writing by the Party to be bound thereby.",Waivers,19, Severability,Severability,4,False,,qwen_zero_shot,LEDGAR,test,,
zero_shot,"Except as set forth in the SEC Documents, the Company and each of its Subsidiaries (i) has made or filed all U.S. federal and (to the Company’s Knowledge, solely with respect to foreign and state income tax returns) foreign, state income and all other tax returns, reports and declarations required by any jurisdiction to which it is subject, (ii) has paid all taxes and other governmental assessments and charges that are material in amount, shown or determined to be due on such returns, reports and declarations, except those being contested in good faith and (iii) has set aside on its books provision reasonably adequate for the payment of all taxes yet to become due for the periods to which such returns, reports or declarations apply. All tax returns are true and correct in all material respects. There is no liability for any tax to be imposed upon its or any of its Subsidiaries’ properties or assets as of the date of this Agreement for which adequate provision has not been made. There are no unpaid taxes in any material amount claimed to be due by the taxing authority of any jurisdiction, and the officers of the Company know of no basis for any such claim. No material tax returns of the Company have been audited, and to the Company’s Knowledge, no deficiency assessment or proposed adjustment of the Company’s or the Subsidiaries material taxes is pending.",Taxes,12, Compliance With Laws,Compliance With Laws,17,False,,qwen_zero_shot,LEDGAR,test,,
